2026/09/22 22:45:46.954, 0, 12288, 391, 11725
2026/09/22 22:45:47.161, 0, 12288, 483, 11633
2026/09/22 22:45:47.368, 0, 12288, 483, 11633
2026/09/22 22:45:47.576, 0, 12288, 483, 11633
2026/09/22 22:45:47.784, 0, 12288, 483, 11633
2026/09/22 22:45:48.005, 0, 12288, 483, 11633
2026/09/22 22:45:48.208, 0, 12288, 483, 11633
2026/09/22 22:45:48.416, 0, 12288, 2275, 9841
2026/09/22 22:45:48.621, 0, 12288, 10169, 1947
2026/09/22 22:45:48.829, 0, 12288, 10169, 1947
2026/09/22 22:45:49.037, 0, 12288, 10169, 1947
2026/09/22 22:45:49.244, 0, 12288, 10169, 1947
2026/09/22 22:45:49.452, 0, 12288, 10169, 1947
2026/09/22 22:45:49.658, 0, 12288, 10169, 1947
2026/09/22 22:45:49.865, 0, 12288, 10169, 1947
2026/09/22 22:45:50.073, 0, 12288, 10169, 1947
2026/09/22 22:45:50.280, 0, 12288, 10169, 1947
2026/09/22 22:45:50.486, 0, 12288, 10169, 1947
2026/09/22 22:45:50.693, 0, 12288, 10169, 1947
2026/09/22 22:45:50.900, 0, 12288, 10169, 1947
2026/09/22 22:45:51.108, 0, 12288, 10169, 1947
2026/09/22 22:45:51.316, 0, 12288, 10169, 1947
2026/09/22 22:45:51.524, 0, 12288, 10169, 1947
2026/09/22 22:45:51.730, 0, 12288, 10169, 1947
2026/09/22 22:45:51.938, 0, 12288, 11585, 531
2026/09/22 22:45:52.142, 0, 12288, 11601, 515
2026/09/22 22:45:52.343, 0, 12288, 11601, 515
2026/09/22 22:45:52.546, 0, 12288, 11601, 515
2026/09/22 22:45:52.752, 0, 12288, 11601, 515
2026/09/22 22:45:52.958, 0, 12288, 11601, 515
2026/09/22 22:45:53.165, 0, 12288, 11601, 515
2026/09/22 22:45:53.373, 0, 12288, 11601, 515
2026/09/22 22:45:53.580, 0, 12288, 11601, 515
2026/09/22 22:45:53.786, 0, 12288, 11601, 515
2026/09/22 22:45:53.993, 0, 12288, 11601, 515
2026/09/22 22:45:54.201, 0, 12288, 11601, 515
