2026/09/16 05:12:15.392, 0, 12288, 489, 11627
2026/09/16 05:12:15.596, 0, 12288, 582, 11534
2026/09/16 05:12:15.804, 0, 12288, 582, 11534
2026/09/16 05:12:16.011, 0, 12288, 582, 11534
2026/09/16 05:12:16.219, 0, 12288, 582, 11534
2026/09/16 05:12:16.424, 0, 12288, 582, 11534
2026/09/16 05:12:16.629, 0, 12288, 582, 11534
2026/09/16 05:12:16.835, 0, 12288, 8134, 3982
2026/09/16 05:12:17.039, 0, 12288, 10268, 1848
2026/09/16 05:12:17.246, 0, 12288, 10268, 1848
2026/09/16 05:12:17.452, 0, 12288, 10268, 1848
2026/09/16 05:12:17.659, 0, 12288, 10268, 1848
2026/09/16 05:12:17.866, 0, 12288, 10268, 1848
2026/09/16 05:12:18.075, 0, 12288, 10268, 1848
2026/09/16 05:12:18.282, 0, 12288, 10268, 1848
2026/09/16 05:12:18.489, 0, 12288, 10268, 1848
2026/09/16 05:12:18.695, 0, 12288, 10268, 1848
2026/09/16 05:12:18.902, 0, 12288, 10268, 1848
2026/09/16 05:12:19.109, 0, 12288, 10268, 1848
2026/09/16 05:12:19.316, 0, 12288, 10268, 1848
2026/09/16 05:12:19.523, 0, 12288, 10268, 1848
2026/09/16 05:12:19.728, 0, 12288, 10268, 1848
2026/09/16 05:12:19.933, 0, 12288, 11684, 432
2026/09/16 05:12:20.136, 0, 12288, 11700, 416
2026/09/16 05:12:20.339, 0, 12288, 11700, 416
2026/09/16 05:12:20.541, 0, 12288, 11700, 416
2026/09/16 05:12:20.742, 0, 12288, 11700, 416
2026/09/16 05:12:20.943, 0, 12288, 11700, 416
2026/09/16 05:12:21.149, 0, 12288, 11700, 416
2026/09/16 05:12:21.355, 0, 12288, 11700, 416
2026/09/16 05:12:21.561, 0, 12288, 11700, 416
2026/09/16 05:12:21.768, 0, 12288, 11700, 416
2026/09/16 05:12:21.975, 0, 12288, 11700, 416
2026/09/16 05:12:22.180, 0, 12288, 11700, 416
2026/09/16 05:12:22.385, 0, 12288, 489, 11627
2026/09/16 05:12:22.592, 0, 12288, 489, 11627
2026/09/16 05:12:22.796, 0, 12288, 489, 11627
2026/09/16 05:12:23.004, 0, 12288, 489, 11627
2026/09/16 05:12:23.212, 0, 12288, 489, 11627
2026/09/16 05:12:23.419, 0, 12288, 489, 11627
