2026/09/15 08:10:34.675, 0, 12288, 290, 11826
2026/09/15 08:10:34.882, 0, 12288, 383, 11733
2026/09/15 08:10:35.089, 0, 12288, 383, 11733
2026/09/15 08:10:35.297, 0, 12288, 383, 11733
2026/09/15 08:10:35.504, 0, 12288, 383, 11733
2026/09/15 08:10:35.712, 0, 12288, 383, 11733
2026/09/15 08:10:35.920, 0, 12288, 383, 11733
2026/09/15 08:10:36.127, 0, 12288, 8383, 3733
2026/09/15 08:10:36.334, 0, 12288, 10069, 2047
2026/09/15 08:10:36.541, 0, 12288, 10069, 2047
2026/09/15 08:10:36.749, 0, 12288, 10069, 2047
2026/09/15 08:10:36.956, 0, 12288, 10069, 2047
2026/09/15 08:10:37.163, 0, 12288, 10069, 2047
2026/09/15 08:10:37.370, 0, 12288, 10069, 2047
2026/09/15 08:10:37.577, 0, 12288, 10069, 2047
2026/09/15 08:10:37.784, 0, 12288, 10069, 2047
2026/09/15 08:10:38.008, 0, 12288, 10069, 2047
2026/09/15 08:10:38.214, 0, 12288, 10069, 2047
2026/09/15 08:10:38.420, 0, 12288, 10069, 2047
2026/09/15 08:10:38.626, 0, 12288, 10069, 2047
2026/09/15 08:10:38.831, 0, 12288, 10069, 2047
2026/09/15 08:10:39.037, 0, 12288, 10069, 2047
2026/09/15 08:10:39.243, 0, 12288, 11501, 615
2026/09/15 08:10:39.447, 0, 12288, 11501, 615
2026/09/15 08:10:39.650, 0, 12288, 11501, 615
2026/09/15 08:10:39.851, 0, 12288, 11501, 615
2026/09/15 08:10:40.053, 0, 12288, 11501, 615
2026/09/15 08:10:40.255, 0, 12288, 11501, 615
2026/09/15 08:10:40.462, 0, 12288, 11501, 615
2026/09/15 08:10:40.668, 0, 12288, 11501, 615
2026/09/15 08:10:40.875, 0, 12288, 11501, 615
2026/09/15 08:10:41.080, 0, 12288, 11501, 615
2026/09/15 08:10:41.285, 0, 12288, 11501, 615
2026/09/15 08:10:41.491, 0, 12288, 11501, 615
2026/09/15 08:10:41.699, 0, 12288, 11501, 615
2026/09/15 08:10:41.905, 0, 12288, 11501, 615
2026/09/15 08:10:42.112, 0, 12288, 11501, 615
